2016753,1051,10574690,130032,1244649,72774,728,963,19,308,0,0,0,246,0,383458,258747,0,0,18852,0,141,3374,0,3055,38022,265477,0,2287,1633668,0,0
0,5737,35,81,30210,163097,3965298,1172353,499962,502172,1742,998,166,665,123,49475,1242844,1636985,122,0,0,0,59,0,1140,4706,159,0,97,1239,0,939
1412506,0,6555523,26268,29196,131905,80,4202,31,0,0,0,0,0,0,59925,0,0,0,19126,0,0,11289,0,12081,40558,740334,0,0,8234121,0,322
150738,13599,94460,3586418,155150,39763,9664,44617,21783,15643,42722,68820,227401,127551,11981,253515,359856,9149,46026,607432,123357,4033,166117,24433,189010,56153,208167,158849,214258,322450,51047,52209
222938,5004,937182,124727,5963439,540803,875,269169,22153,46407,116143,75485,447346,104072,33230,2356432,5929309,25284,30511,1137424,219302,63663,523915,44560,106872,193766,219927,105144,364540,465840,1285475,73524
1004997,17782,431460,912140,664816,8118602,69325,243789,146113,106849,183254,221794,602866,444985,34546,3947093,556205,12427,114235,921,1297,2008,29495,25893,33580,138119,7319754,12696,273262,468007,193685,69160
250544,16610,118271,43581,134858,823364,513844,144225,534435,35879,44262,41973,63944,66504,3897,60065,1000190,882230,86477,144919,14620,42112,5461536,17926,134393,184913,175948,19266,129358,230508,0,54092
27957,334,288579,6526,134717,181951,10950,1304090,196414,39501,86282,205064,622657,354444,82563,114853,8381297,1552,23128,58373,898,5719,4790,1,11709,57131,65545,6045,70346,203669,8289,51501
534,2695,0,380,195009,1536,0,122914,10412698,11054,3547664,2629206,859749,1764888,49402,83536,1854435,0,3208,0,0,0,22564,0,899,0,364,25,8195,1484,33,59652
0,421,50825,214,27827,108402,219,45414,167850,2698446,1010481,644894,1771658,821099,100299,252987,847692,14044,1194,1247,0,0,777,0,5979,0,48605,659,11092,19582,747,33144
30442,32624,964370,30281,281496,288691,28229,107133,21506,15289,1157801,1249379,1003423,526687,64839,290771,10256585,16111,4886,312653,2097,25410,101103,3777,168783,2813,12777,9429,97018,132458,471,64933
