1456611,75,7064113,35202,297629,29813,0,309502,1920,2,738,0,0,0,0,0,0,0,5,54689,56940,0,0,0,8759,0,176,2137,0,1760,27393,135152,8838,803,1188749,0,0
185,1467,2675,32,57871,127934,13145086,1245,378574,1924511,1204876,1910,433,709,255,856,543,130,3505,6832,326076,6905061,0,0,0,0,0,114,0,288,1478,0,0,12,-337,0,455
1149322,0,6250885,7337,18324,160498,64,179,3006,23,0,0,0,0,0,0,0,0,0,21361,558,0,0,0,12932,0,0,9262,12,13904,46582,413936,6871,457,6485329,0,6173
56524,3183,34310,833465,58353,23682,486,48589,21478,9459,9018,11895,10306,18694,7713,56055,39012,11105,74370,40560,139807,3388,3178,7532,358544,50782,2417,79907,47119,141652,17456,183773,110618,146052,182695,21260,3243
250066,1709,518259,23515,3280526,358565,274,86403,143122,8698,22966,38545,15639,16141,30790,88461,109549,47659,66272,919677,2307191,34332,8748,13578,732419,133991,29133,239194,718749,52993,207153,324121,83620,220603,302253,565820,10921
673337,9121,352465,379917,414213,9639810,31701,2752722,219972,90772,95778,87549,39583,60012,112297,249597,208620,78774,479326,344430,277045,21480,59045,61848,833,848,1950,21237,73611,39617,206355,7805288,11092,283265,353783,20902,64185
244783,21890,175209,30142,68079,2270826,1256664,30465,191614,1174307,39033,35389,16338,20027,7923,28593,19447,4991,112357,24945,745649,1622073,77207,55262,216959,17919,51803,5533546,51666,429869,217443,208239,26762,190735,383135,0,157572
122878,3685,672000,36988,222696,482306,2283,2577534,56879,18158,58391,47625,117395,313809,254010,274480,561959,322443,1608166,548109,672010,0,145990,39687,435326,91535,42764,140694,166257,73461,135312,118512,34026,677041,129582,66228,40321
28856,445,89083,2070,57498,153262,5516,52148,570120,135326,57179,40881,74631,62735,145673,691656,141423,22129,349065,44476,2853078,1085,18169,2065,18624,390,5191,1342,492,7940,64533,46639,1881,73546,69328,7161,38556
860,2533,0,466,104665,974,-9,28329,50881,17202952,13871,2633672,1277794,1508915,156145,82771,756547,82779,2959243,34170,1345032,0,1794,0,0,0,0,13383,0,1057,0,178,23,9846,1844,38,54716
0,712,62020,27,30198,132729,188,31884,61064,206868,3679672,703668,386447,285314,242391,746412,1006262,316213,1070621,121229,565608,12274,1419,22,1409,0,0,688,2949,8677,2175,89859,1030,36277,20596,1260,41718
14317,16964,484310,7953,130403,231962,9410,89851,71014,19682,14830,706667,333471,472940,254352,271174,402461,179158,478789,97900,4455395,12594,4593,602,303526,3227,23431,64774,16662,201562,4889,20103,11462,82790,136663,474,20903
6,1915,0,0,12929,538,0,4536,13372,3265,153,9584,1326318,582125,103365,29567,195889,21404,385086,4709,314591,0,23554,0,393,0,0,3253,276,13073,0,12,0,501075,434,0,0
45,1217,0,0,861,0,209,31229,5452,3103,772,4913,34633,1902955,11173,38552,30429,7114,43468,1035,3068,125,689,0,322,0,0,2048,94,646,0,0,0,748629,502,0,0
3013,0,10,0,0,24,0,0,0,0,0,179,25026,80247,539588,3050,12121,7732,18963,1223,8414,0,352,129,119431,467,0,1243,7094,431858,0,548991,0,420542,38010,33474,0
7,21,45,3,122,102,7,12,7,22,1652,32824,72292,119058,913970,3460967,1939750,2461324,261738,59831,14135,120,57,0,2110,1058,0,195,42453,90280,35174,220,0,833039,561,38024,0
2311,287,17,0,1327,91,0,337,302,0,262,8695,245125,334022,124388,253804,1662369,180449,1414607,10921,396831,70,479,0,23915,105,1004,8931,10171,73332,17252,8271,44,476593,8917,0,6849
175,16,724,57,131,1259,75,290,120,29,44,675,6943,4784,679,1104,1018,199292,307685,773,101966,514,76,106,45528,6991,5934,6694,17675,87828,4820,2435,535,84069,10431,0,0
71742,31,0,0,0,0,0,0,0,0,0,0,0,9424,0,0,0,0,19825403,0,0,0,0,0,0,0,0,740810,0,439222,2204,0,0,1861967,2441,0,0
20014,3113,304789,51653,137014,102538,48838,160400,83518,410341,218396,29099,13519,37966,44776,81364,61554,69215,84815,544393,180919,196496,12974,17363,601826,565252,4212,102807,1068355,402532,664126,266675,225757,679080,374126,192645,8798
70559,6089,43404,17881,95820,199430,14728,87136,82287,251445,65730,85795,38398,56236,18165,101221,60851,19822,70554,31724,74068,881975,297566,25955,644813,188422,3155658,686950,322764,810258,468515,312805,17871,192077,276255,0,0
116844,27078,429261,82304,423251,671370,116360,277349,310198,871459,240177,187483,109769,128560,55760,375765,136064,40588,491558,130911,237790,2238845,181441,159895,1879456,129918,380924,471843,304189,390848,613446,624853,19452,426548,1508936,0,48646
12183,2440,87962,4600,26635,73132,9437,15761,8916,29110,8825,7328,6461,9664,4568,26380,9669,1888,16374,8568,41429,19059,427785,40922,225327,51079,39826,204839,94821,147622,325755,327099,13022,57376,531825,0,16277
2900,1233,19032,484,6102,45316,377,861,12569,2538,1414,627,2055,300,2329,6962,2718,792,13389,2733,73509,304493,6637,0,117931,71975,1125,145800,114704,850445,117425,161715,133,16104,650294,0,18547
659194,19228,2758585,356843,1144499,1352923,157809,1073032,318339,972320,482195,708405,557895,727562,391820,693127,921005,410445,2111912,867859,3707597,304932,93977,59538,1925850,216723,113882,1325358,674557,507162,607863,3031069,216413,1455408,4040143,313421,76141
70578,26912,172343,59313,99376,172434,54252,38891,64157,106918,66371,103224,58277,91367,61246,76534,72503,41464,209097,119419,705539,398676,17173,33344,1595778,2012259,5383055,995808,219677,1629212,70833,348593,319540,751926,333785,0,24138
25452,7520,85043,12138,27387,72291,5233,43560,20108,34310,9130,39036,27836,41696,13370,22901,40777,21005,43659,30510,243659,167181,7977,9504,3217378,631478,1561970,1016734,1214661,61246,284762,1135690,102386,549194,879542,0,195260
621420,194884,1132992,88729,435248,645891,421986,247554,342864,616165,270774,304218,205460,281077,152673,259327,315006,142966,741558,966096,2238935,827166,74058,229137,5274310,1087032,175934,5126066,1166073,1358991,837388,923984,173119,1018070,1748678,63620,397540
40877,7791,181089,22456,64715,339495,13463,80672,45770,68358,34687,65755,72004,151033,52088,133701,191036,176613,137558,66462,473694,261632,189506,37268,3758528,1901761,287010,542574,7022394,1045584,823617,828683,320633,4745287,1063612,0,212206
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136566
10754,6480,224109,52488,78456,2198722,39387,309107,130108,199042,147353,89574,248207,513008,419118,927558,859895,571264,1827668,151666,94144,149390,862,892,307423,24816,127,118902,863415,8842,92084,192762,0,190916,32965,0,125611
3564,0,0,0,20,401,0,11,0,46,0,0,0,0,0,0,0,0,0,97,70,893,1196,0,2048,3846,480,40630,21547,897,751,1870681,56,864,2551,0,16047
10542,2471,34513,4401,8622,51424,2997,7776,8014,21840,3472,9156,20911,26887,10193,11003,9641,5780,12637,8657,57549,36799,45079,8095,52755,87969,23793,61801,64694,134,53924,71355,0,146271,185611,0,10145
286302,42744,1185223,94667,261945,1199077,87274,473633,333767,315644,157546,292810,387706,536388,208939,620407,621023,318540,1170295,414494,5246995,1947125,628442,207936,6692879,3444896,2097207,5783962,6705013,2982243,2023579,3046564,377599,7900528,1800854,0,264004
3157,156,98801,569,1160,3060,289,1145,436,2075,984,946,1157,2530,868,2690,2403,1151,4518,4577,13718,1841,1344,212,89048,7417,45987,34073,506965,22049,43739,1185095,13841,106468,765244,0,15099
