0,1.051,11987.196,280.77,1467.587,1077.771,251.272,28.92,0.553,0.308,30.442,0.907,5.928,74.141,2.182,597.122,309.079,60.324,11.301,18.852,530.268,4.3,404.396,13.526,3.055,51.629,265.477,3.271,158.1,1639.217,8.954,169.475
1.051,0,0.035,13.68,35.214,180.879,3981.908,1172.687,502.657,502.593,34.366,9.609,1.088,0.72,0.157,75.922,1253.341,1678.283,5.938,0,73.258,15.669,394.977,7.562,1.14,7.661,0.159,2.474,63.076,1.656,2.283,26.578
11987.196,0.035,0,120.728,966.378,563.365,118.351,292.781,0.031,50.825,964.37,0.012,0.271,0,0.131,1213.114,97.1,471.253,132.016,19.126,299.062,79.897,412.633,77.049,12.081,260.251,740.334,30.935,1234.179,8243.605,54.919,257.042
280.77,13.68,120.728,0,279.877,951.903,53.245,51.143,22.163,15.857,73.003,68.82,227.426,127.551,12.167,879.815,400.676,180.847,82.263,607.432,455.017,77.976,298.29,73.54,189.01,146.847,208.167,170.002,596.508,325.504,77.024,158.535
1467.587,35.214,966.378,279.877,0,1205.619,135.733,403.886,217.162,74.234,397.639,122.869,451.772,104.072,34.017,2923.75,6037.207,432.632,78.743,1137.424,524.467,135.651,729.633,77.67,106.872,285.392,219.944,118.481,834.434,470.076,1311.087,265.227
1077.771,180.879,563.365,951.903,1205.619,0,892.689,425.74,147.649,215.251,471.945,222.637,604.564,444.985,35.357,4639.198,728.275,858.294,283.257,0.921,447.926,111.178,287.634,135.715,33.58,2083.921,7319.973,53.282,1686.733,474.354,211.571,370.434
251.272,3981.908,118.351,53.245,135.733,892.689,0,155.175,534.435,36.098,72.491,42.121,63.963,66.504,3.913,71.932,1028.79,979.329,98.908,144.919,195.637,59.624,5490.651,34.614,134.393,237.785,175.948,24.364,254.422,231.543,1.198,63.865
28.92,1172.687,292.781,51.143,403.886,425.74,155.175,0,319.328,84.915,193.415,232.761,622.714,354.444,82.958,269.614,8517.096,335.41,69.668,58.373,267.18,71.516,279.575,20.565,11.709,260.529,65.545,16.722,450.244,206.01,24.054,107.47
0.553,502.657,0.031,22.163,217.162,147.649,534.435,319.328,0,178.904,3569.17,2642.243,859.832,1764.888,49.471,154.813,2026.244,667.239,53.215,0,270.701,68.16,208.689,18.381,0.899,187.132,0.387,18.138,433.25,6.801,10.64,302.295
0.308,502.593,50.825,15.857,74.234,215.251,36.098,84.915,178.904,0,1025.77,648.86,1774.392,821.099,100.343,366.863,887.543,198.85,12.24,1.247,120.615,16.732,58.566,17.164,5.979,153.25,48.605,3.1,169.699,21.328,5.227,81.239
30.442,34.366,964.37,73.003,397.639,471.945,72.491,193.415,3569.17,1025.77,0,1289.778,1090.787,526.687,65.607,530.624,10387.146,295.612,26.429,312.653,283.055,109.634,348.279,71.147,168.783,140.942,12.777,28.669,707.904,136.324,35.247,258.544
0.907,9.609,0.012,68.82,122.869,222.637,42.121,232.761,2642.243,648.86,1289.778,0,2081.355,636.591,258.736,1023.272,803.517,259.511,88.674,0.855,401.56,124.09,300.63,96.723,10.676,758.834,0,48.078,3024.461,27.004,153.506,381.114
5.928,1.088,0.271,227.426,451.772,604.564,63.963,622.714,859.832,1774.392,1090.787,2081.355,0,2066.947,425.821,2614.196,1413.392,537.473,55.753,35.182,440.707,161.234,509.349,158.856,313.212,3375.696,2.644,36.463,3594.015,51.17,116.336,384.096
74.141,0.72,0,127.551,104.072,444.985,66.504,354.444,1764.888,821.099,526.687,636.591,2066.947,0,40.446,2047.665,81.936,367.516,41.414,0,382.289,59.75,761.321,53.757,756.201,1366.034,0,11.266,3173.62,10.075,28.799,108.218
2.182,0.157,0.131,12.167,34.017,35.357,3.913,82.958,49.471,100.343,65.607,258.736,425.821,40.446,0,265.432,24.436,40.936,8.862,225.715,89.756,21.899,43.601,16.216,29.364,238.632,298.944,2.644,225.601,23.576,5.263,21.124
597.122,75.922,1213.114,879.815,2923.75,4639.198,71.932,269.614,154.813,366.863,530.624,1023.272,2614.196,2047.665,265.432,0,2688.791,643.96,317.426,1908.64,1590.923,241.46,935.949,440.915,1313.828,1894.246,494.505,487.518,5329.266,1079.857,414.286,474.291
309.079,1253.341,97.1,400.676,6037.207,728.275,1028.79,8517.096,2026.244,887.543,10387.146,803.517,1413.392,81.936,24.436,2688.791,0,1454.019,332.599,592.386,1087.374,2551.903,2937.79,650.328,462.686,665.91,190.884,102.783,6793.643,421.521,46.359,200.858
60.324,1678.283,471.253,180.847,432.632,858.294,979.329,335.41,667.239,198.85,295.612,259.511,537.473,367.516,40.936,643.96,1454.019,0,461.256,930.898,767.051,418.393,780.376,191.607,399.459,1078.626,590.99,46.158,1911.903,1212.096,22.068,133.677
11.301,5.938,132.016,82.263,78.743,283.257,98.908,69.668,53.215,12.24,26.429,88.674,55.753,41.414,8.862,317.426,332.599,461.256,0,234.518,150.728,61.43,451.654,101.255,453.376,323.393,335.178,60.387,497.569,997.828,16.96,148.998
18.852,0,19.126,607.432,1137.424,0.921,144.919,58.373,0,1.247,312.653,0.855,35.182,0,225.715,1908.64,592.386,930.898,234.518,0,5866.19,3841.571,5109.724,1901.388,0,151.662,0.7,57.969,4966.03,159.888,479.37,673.43
530.268,73.258,299.062,455.017,524.467,447.926,195.637,267.18,270.701,120.615,283.055,401.56,440.707,382.289,89.756,1590.923,1087.374,767.051,150.728,5866.19,0,3947.718,3726.681,899.184,82.355,177.476,534.821,168.14,6940.545,1355.018,161.765,1063.911
4.3,15.669,79.897,77.976,135.651,111.178,59.624,71.516,68.16,16.732,109.634,124.09,161.234,59.75,21.899,241.46,2551.903,418.393,61.43,3841.571,3947.718,0,965.692,287.989,49.81,504.212,358.812,121.686,1687.591,1118.469,30.337,648.225
