0 ,0 ,8972 ,105 ,643 ,731 ,159 ,28 ,1 ,0 ,17 ,4 ,3 ,72 ,374 ,94 ,120 ,12 ,855 ,81 ,24 ,729 ,49 ,2 ,93 ,199 ,23 ,250 ,1222 ,10 ,51 
0 ,0 ,11 ,5 ,55 ,155 ,9859 ,407 ,1371 ,1265 ,20 ,6 ,3 ,6 ,14 ,383 ,7651 ,4 ,18 ,34 ,7 ,177 ,7 ,0 ,2 ,1 ,3 ,42 ,1 ,1 ,11 
8972 ,11 ,0 ,46 ,664 ,593 ,155 ,110 ,0 ,55 ,465 ,0 ,1 ,0 ,1066 ,19 ,509 ,101 ,2759 ,220 ,88 ,1267 ,176 ,13 ,255 ,577 ,42 ,1303 ,7216 ,24 ,244 
105 ,5 ,46 ,0 ,100 ,420 ,22 ,22 ,10 ,8 ,23 ,41 ,98 ,93 ,215 ,199 ,114 ,20 ,664 ,119 ,16 ,183 ,73 ,131 ,22 ,198 ,114 ,266 ,197 ,33 ,12 
643 ,55 ,664 ,100 ,0 ,801 ,46 ,161 ,124 ,51 ,187 ,86 ,230 ,77 ,1367 ,2908 ,572 ,62 ,1695 ,269 ,63 ,722 ,772 ,50 ,291 ,369 ,93 ,521 ,318 ,641 ,41 
731 ,155 ,593 ,420 ,801 ,0 ,2204 ,390 ,102 ,212 ,347 ,226 ,503 ,537 ,3653 ,415 ,829 ,241 ,1075 ,183 ,70 ,731 ,412 ,36 ,354 ,8790 ,59 ,1645 ,341 ,28 ,74 
159 ,9859 ,155 ,22 ,46 ,2204 ,0 ,140 ,611 ,24 ,43 ,38 ,38 ,108 ,70 ,748 ,1355 ,117 ,328 ,72 ,38 ,5780 ,51 ,427 ,152 ,152 ,18 ,235 ,271 ,0 ,97 
28 ,407 ,110 ,22 ,161 ,390 ,140 ,0 ,184 ,140 ,107 ,287 ,627 ,312 ,195 ,3296 ,345 ,45 ,247 ,68 ,26 ,377 ,41 ,7 ,82 ,55 ,8 ,380 ,75 ,15 ,71 
1 ,1371 ,0 ,10 ,124 ,102 ,611 ,184 ,0 ,241 ,2674 ,2886 ,839 ,2928 ,297 ,1526 ,1175 ,30 ,616 ,116 ,33 ,573 ,71 ,1 ,2 ,0 ,19 ,306 ,3 ,4 ,118 
0 ,1265 ,55 ,8 ,51 ,212 ,24 ,140 ,241 ,0 ,782 ,969 ,1880 ,1320 ,490 ,574 ,320 ,10 ,337 ,71 ,9 ,272 ,35 ,8 ,4 ,84 ,4 ,162 ,19 ,4 ,61 
