1558469,523,7558197,57754,579408,55374,372,436,14,150,0,0,0,110,0,175355,152054,0,0,8976,0,92,2101,0,2092,25317,190518,9143,1111,1105587,0,0
209,3490,31,27,19852,65809,5773477,577789,405623,384521,1408,918,175,705,95,126785,673921,2019140,84,0,0,0,39,0,620,3485,159,0,74,253,0,988
1070203,0,5384010,15852,24748,107715,60,3829,19,0,0,0,0,0,0,47826,0,0,0,15290,0,0,8892,0,9237,16192,591160,6669,0,5971274,0,1006
67644,7729,49199,1859665,92482,22555,5069,23024,11074,11564,18702,38638,136581,86297,6122,143417,199730,5120,10173,285455,51271,1624,89845,15704,73968,7240,147324,68032,129804,204665,31477,30407
211937,3832,669265,68948,3850673,416569,613,171563,15770,33767,66047,57271,329297,71168,25786,1830323,3730170,20663,24841,731845,166377,39421,311358,48127,69842,155988,206584,61433,328863,367394,777961,67768
653871,12362,348150,599911,493339,7653259,38565,202106,104422,91528,128434,174817,531890,438155,27647,3308047,371764,19583,105503,619,783,1291,19810,16289,28841,156126,5902444,7805,241074,408045,106562,70458
188037,13928,111211,25939,118764,1024277,657531,103438,262567,30983,32012,35472,44157,59331,2799,567009,733355,644041,65802,121356,13004,36994,4662828,20236,185157,177338,142024,15548,93519,193544,0,31747
16852,189,168350,4043,94621,165941,8398,725423,142061,47847,51480,158114,628238,304081,72678,106236,4763019,1176,19404,33709,663,2742,3327,1,7693,53626,54091,4592,55532,154239,5360,29232
1354,1662,0,259,110472,1102,0,64146,7812433,9238,2332422,1839245,683303,1734556,40202,233274,1294556,0,3064,0,0,0,14656,0,723,0,319,19,6544,1384,27,23684
0,224,47714,134,26224,100711,143,33776,124204,1818403,762753,569958,1617114,740821,84282,283141,565489,9998,891,1043,0,0,531,0,5227,0,44776,524,8046,18731,973,12991
16782,26367,742391,15441,194257,257485,18457,78070,16698,13429,806160,963726,842155,422491,72614,242486,6953018,15265,4704,275082,2275,16500,71493,5133,169761,2613,13371,7160,85541,124404,311,22273
274,6680,13,0,27790,834,109,23532,8416,3043,27111,5616791,369590,500743,37114,55872,508473,131,27896,612,0,0,4293,213,11331,0,0,0,1523610,14467,75845,0
3757,633,475,129,2850,2006,76,140,158,2344,80740,1663586,15967865,1900094,326078,233386,836462,557,888,35555,4938,1530,14246,26951,322982,55636,3452,289,1129986,46399,18946,11832
73900,55,0,0,0,0,0,0,0,0,0,0,0,18411324,0,0,0,0,0,0,0,0,530159,0,834431,1030,0,0,1774539,1712,0,0
1069,28,116,82,624,617,12,341,51,34,432,127537,45264,27596,445357,3353,6568,0,645,141019,1902,245,1316,684,24488,401,279393,70,45519,18458,0,0
150961,17595,1069124,287237,453612,656426,55395,214044,531543,373446,166994,713918,2129276,1764301,185498,5389463,1583958,418204,242163,1186031,867989,39049,274819,280249,1065347,1152619,423343,303356,3774443,792645,261362,81245
80907,9079,74716,29275,93179,181417,25980,123513,144857,38776,127196,80905,190385,62100,16400,98432,199012,1039417,219318,548218,150273,2843296,479129,173935,569060,502571,244233,8498,215457,409682,0,0
81551,37612,415300,99001,496983,1034111,122110,310319,685840,225523,254654,284797,653271,399212,49830,550719,364540,668390,395094,961763,136915,188100,662676,203434,454555,857843,765931,18662,464605,1394447,0,17317
10374,5508,124228,25209,49555,192139,11953,42551,44859,12088,20502,61589,73791,45448,8785,43960,174742,110919,448859,264452,88850,31358,225605,114908,582178,360640,407332,13170,68068,1134257,0,49374
665900,23263,3018562,470377,1023192,1024102,153847,383617,582527,264208,613218,1583858,2877764,1786785,250008,1753610,4942882,266847,125076,1413088,190918,62688,1644923,95723,451052,517638,2382575,124604,1766046,3555504,470223,84146
502498,66025,264688,215169,266557,434012,153252,244537,236311,120078,236327,394685,485320,371551,85820,510339,864385,672441,88801,4927713,2872028,3298307,2932966,503522,100096,259574,610381,61722,3521681,1381553,0,955849
6102,12305,72724,39328,60989,97925,12346,37403,50190,13261,70287,101085,130645,48867,15906,141806,269144,202622,21540,2861601,609139,407838,703622,376194,46648,352846,322542,106550,917326,969731,0,49316
619322,379368,1258670,180571,575039,657626,384175,609564,499304,169369,402344,548202,887437,652283,70071,1251180,3988383,445524,270135,4640888,728274,146483,5034261,504229,1122886,542397,712263,115092,1203809,1625386,92806,208141
12029,8986,58029,37476,40301,183543,18868,25459,22632,25754,87118,126383,198235,74625,18163,201855,938648,78258,64531,2519599,829310,98243,360614,2672208,528828,434073,281737,118861,3262378,753991,0,117956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708777
12580,2937,220038,46378,89842,2015072,53473,279445,172432,182783,133928,888535,3995244,1427755,263535,410170,206751,361261,1158,152310,18544,128,86964,329316,7212,17,6637,0,202995,18778,0,55565
0,0,0,0,20,306,0,0,42,0,0,0,0,0,0,47,40,36,187,1403,1000,169,1174,1072,278,182,797617,42,421,2446,0,0
3561,2090,28619,7613,11246,40212,4505,8968,14246,2172,16129,47259,42827,12718,2617,26643,72219,27723,48740,46489,82266,15683,49582,19936,232,42980,48665,0,140045,196508,0,4781
193379,56996,1421154,253381,491805,1604415,119423,393209,399849,175464,577835,1277431,2820433,1234368,178192,1572431,6079369,1739478,562625,5979718,4869355,1641743,6510456,2494156,2686278,1749408,2071133,353497,8586522,2249262,0,238049
4110,374,7666,2239,3676,6459,964,2241,4188,1449,2774,7053,14328,7915,837,34231,39475,8101,5019,165299,26336,46367,35794,796226,64764,43397,697305,23604,625070,1412037,0,51513
6099,1782,45910,15293,18416,16616,921,10924,7755,4010,24251,42760,79289,25022,4523,44155,32379,22892,16744,364974,153716,22807,86115,48286,87566,148397,107904,22068,245952,133543,0,1099
81124,20449,215179,70941,91821,157321,23831,38155,143803,38117,155481,286748,187915,67067,18049,173905,307787,93925,49988,626861,257147,270230,190895,101592,17939,40133,84369,28316,335149,229938,315,0
